New Run at  11/01/2017 01:11:48
, Time, RandomReward; CLUBReward, ClusterID;UserID;CLUBModelUsed,
data,1191189600000,0;5;0,87;87
data,1191189600000,0;32;0,87;87
data,1191189600000,0;62;0,87;87
data,1191189600000,0;84;0,87;87
data,1193871600000,0;117;0,87;87
data,1196463600000,0;140;0,87;87
data,1199142000000,0;169;0,87;87
data,1199142000000,0;180;0,87;87
data,1199142000000,1;202;0,87;87
data,1199142000000,1;231;0,87;87
data,1199142000000,1;264;0,87;87
data,1199142000000,1;293;0,87;87
data,1199142000000,1;296;1,87;87
data,1199142000000,1;338;1,87;87
data,1201820400000,1;368;1,87;87
data,1204326000000,1;392;1,87;87
data,1204326000000,1;413;1,87;87
data,1204326000000,2;435;1,87;87
data,1204326000000,2;455;1,87;87
data,1204326000000,2;473;1,87;87
data,1204326000000,2;511;1,87;87
data,1204326000000,3;529;1,87;87
data,1204326000000,3;540;1,87;87
data,1204326000000,3;583;1,87;87
data,1204326000000,3;600;1,87;87
data,1204326000000,3;618;1,87;87
data,1207000800000,3;2;1,87;87
data,1207000800000,3;661;1,87;87
data,1207000800000,3;683;2,87;87
data,1207000800000,3;423;2,87;87
data,1207000800000,3;740;2,87;87
data,1207000800000,4;758;2,87;87
data,1207000800000,5;797;2,87;87
data,1207000800000,5;817;2,87;87
data,1207000800000,5;827;2,87;87
data,1207000800000,5;865;2,87;87
data,1207000800000,5;885;2,87;87
data,1207000800000,5;911;2,87;87
data,1207000800000,5;917;2,87;87
data,1207000800000,5;960;2,87;87
data,1207000800000,5;977;2,87;87
data,1207000800000,5;323;2,87;87
data,1207000800000,5;1009;3,87;87
data,1207000800000,5;1042;3,87;87
data,1209592800000,5;1067;3,87;87
data,1209592800000,5;1079;4,87;87
data,1209592800000,5;1102;5,87;87
data,1209592800000,5;1143;5,87;87
data,1209592800000,5;1148;6,87;87
data,1209592800000,5;1185;6,87;87
data,1209592800000,5;1203;6,87;87
data,1209592800000,5;1227;6,87;87
data,1209592800000,5;1253;6,87;87
data,1209592800000,5;1267;6,87;87
data,1209592800000,5;1290;6,87;87
data,1209592800000,5;1308;7,87;87
data,1212271200000,5;1082;7,87;87
data,1212271200000,5;1354;8,87;87
data,1212271200000,5;1382;8,87;87
data,1212271200000,5;776;9,87;87
data,1212271200000,5;1436;9,87;87
data,1212271200000,5;1446;10,87;87
data,1212271200000,5;1481;10,87;87
data,1212271200000,5;1491;11,87;87
data,1212271200000,5;1516;12,87;87
data,1212271200000,5;1541;12,87;87
data,1212271200000,5;1561;12,87;87
data,1212271200000,5;1594;12,87;87
data,1212271200000,5;1603;13,87;87
data,1212271200000,5;1630;13,87;87
data,1212271200000,5;1649;14,87;87
data,1212271200000,6;1674;14,87;87
data,1212271200000,7;1708;14,87;87
data,1212271200000,7;1712;15,87;87
data,1212271200000,7;1739;15,87;87
data,1212271200000,7;1516;16,87;87
data,1212271200000,7;1790;16,87;87
data,1212271200000,7;1818;16,87;87
data,1212271200000,7;1819;17,87;87
data,1212271200000,7;1858;17,87;87
data,1212271200000,7;1878;17,87;87
data,1214863200000,7;1885;18,87;87
data,1214863200000,7;1908;19,87;87
data,1214863200000,7;1929;20,87;87
data,1214863200000,7;1969;20,87;87
data,1214863200000,7;1974;21,87;87
data,1214863200000,7;1996;22,87;87
data,1214863200000,7;1230;22,87;87
data,1214863200000,7;772;22,87;87
data,1214863200000,7;1446;23,87;87
data,1214863200000,7;2083;23,87;87
data,1214863200000,7;2113;23,87;87
data,1214863200000,7;2129;23,87;87
data,1214863200000,7;2144;24,87;87
data,1214863200000,7;2175;24,87;87
data,1217541600000,7;2190;25,87;87
data,1217541600000,7;2226;25,87;87
data,1217541600000,7;2227;26,87;87
data,1217541600000,7;2249;27,87;87
data,1217541600000,7;2268;28,87;87
data,1217541600000,7;2304;28,87;87
data,1217541600000,7;1892;28,87;87
data,1217541600000,7;1332;29,87;87
data,1217541600000,7;2347;30,87;87
data,1217541600000,7;2368;31,87;87
data,1217541600000,7;2393;31,87;87
data,1217541600000,7;2410;32,87;87
data,1217541600000,8;2452;32,87;87
data,1217541600000,8;2466;32,87;87
data,1220220000000,8;1042;32,87;87
data,1220220000000,8;2489;33,87;87
data,1220220000000,8;2510;34,87;87
data,1220220000000,8;1712;35,87;87
data,1220220000000,8;2546;36,87;87
data,1220220000000,8;2582;36,87;87
data,1220220000000,8;2603;36,87;87
data,1220220000000,8;2609;37,87;87
data,1220220000000,8;2650;37,87;87
data,1220220000000,8;636;38,87;87
data,1220220000000,8;394;39,87;87
data,1220220000000,8;2713;39,87;87
data,1220220000000,8;2726;39,87;87
data,1220220000000,8;2753;39,87;87
data,1220220000000,8;2763;39,87;87
data,1220220000000,8;2788;39,87;87
data,1222812000000,8;2799;40,87;87
data,1222812000000,8;2816;41,87;87
data,1222812000000,8;916;42,87;87
data,1222812000000,8;2860;42,87;87
data,1222812000000,8;1338;42,87;87
data,1222812000000,8;2906;42,87;87
data,1222812000000,8;2910;43,87;87
data,1222812000000,8;2938;43,87;87
data,1222812000000,8;2959;43,87;87
data,1222812000000,8;2968;44,87;87
data,1222812000000,8;2989;45,87;87
data,1222812000000,8;2510;46,87;87
data,1222812000000,9;283;46,87;87
data,1222812000000,10;3041;47,87;87
data,1222812000000,10;385;47,87;87
data,1222812000000,11;3079;48,87;87
data,1225494000000,11;3113;48,87;87
data,1225494000000,11;1525;48,87;87
data,1225494000000,11;3138;48,87;87
data,1228086000000,11;3163;48,87;87
data,1228086000000,11;3195;48,87;87
data,1228086000000,11;3216;48,87;87
data,1228086000000,11;3225;48,87;87
data,1230764400000,12;328;48,87;87
data,1230764400000,12;3261;49,87;87
data,1230764400000,12;3300;49,87;87
data,1233442800000,12;3311;49,87;87
data,1233442800000,12;1226;49,87;87
data,1233442800000,12;1929;50,87;87
data,1233442800000,12;3373;50,87;87
data,1235862000000,12;3393;50,87;87
data,1235862000000,12;529;50,87;87
data,1235862000000,12;3417;51,87;87
data,1235862000000,12;369;52,87;87
data,1235862000000,12;3460;52,87;87
data,1235862000000,12;3486;52,87;87
data,1235862000000,12;3502;52,87;87
data,1235862000000,12;3512;53,87;87
data,1238536800000,12;3529;54,87;87
data,1238536800000,12;547;54,87;87
data,1238536800000,12;3566;54,87;87
data,1238536800000,12;3589;54,87;87
data,1238536800000,13;2968;55,87;87
data,1241128800000,13;3618;56,87;87
data,1241128800000,13;3641;56,87;87
data,1241128800000,13;3652;57,87;87
data,1241128800000,13;3673;58,87;87
data,1241128800000,13;3700;58,87;87
data,1241128800000,13;3732;58,87;87
data,1241128800000,13;3742;58,87;87
data,1243807200000,13;3746;59,87;87
data,1243807200000,13;3765;60,87;87
data,1243807200000,13;3780;60,87;87
data,1243807200000,13;3810;60,87;87
data,1246399200000,13;3821;60,87;87
data,1246399200000,13;3834;61,87;87
data,1246399200000,13;636;62,87;87
data,1246399200000,13;3880;62,87;87
data,1246399200000,13;3888;62,87;87
data,1246399200000,13;3916;62,87;87
data,1246399200000,13;3924;62,87;87
data,1246399200000,13;3934;63,87;87
data,1246399200000,13;3964;63,87;87
data,1246399200000,13;3975;63,87;87
data,1249077600000,13;753;64,87;87
data,1249077600000,14;4001;65,87;87
data,1249077600000,14;4038;65,87;87
data,1249077600000,14;4052;65,87;87
data,1249077600000,14;860;65,87;87
data,1249077600000,14;4095;65,87;87
data,1249077600000,14;4099;66,87;87
data,1249077600000,14;4117;67,87;87
data,1251756000000,14;4132;68,87;87
data,1251756000000,14;4155;68,87;87
data,1251756000000,14;4167;69,87;87
data,1251756000000,14;4181;70,87;87
data,1251756000000,14;3673;71,87;87
data,1251756000000,15;4209;72,87;87
data,1254348000000,15;4225;73,87;87
data,1254348000000,15;4250;73,87;87
data,1254348000000,15;4258;74,87;87
data,1254348000000,15;2860;74,87;87
data,1254348000000,15;939;75,87;87
data,1254348000000,15;2588;76,87;87
data,1254348000000,15;200;77,87;87
data,1254348000000,15;2414;77,87;87
data,1254348000000,15;4358;78,87;87
data,1254348000000,15;1102;79,87;87
data,1254348000000,15;4392;80,87;87
data,1257030000000,15;342;80,87;87
data,1257030000000,15;3589;80,87;87
data,1257030000000,15;4455;80,87;87
data,1257030000000,15;4467;80,87;87
data,1257030000000,15;4479;81,87;87
data,1259622000000,15;4494;82,87;87
data,1259622000000,15;4509;83,87;87
data,1259622000000,15;4524;84,87;87
data,1259622000000,15;4559;84,87;87
data,1259622000000,15;2249;85,87;87
data,1259622000000,15;3810;85,87;87
data,1259622000000,15;4594;85,87;87
data,1259622000000,15;4613;85,87;87
data,1259622000000,15;4629;86,87;87
data,1262300400000,15;4648;86,87;87
data,1262300400000,15;4661;86,87;87
data,1264978800000,15;4674;87,87;87
data,1264978800000,15;4687;88,87;87
data,1264978800000,15;4715;88,87;87
data,1267398000000,15;423;88,87;87
data,1267398000000,15;38;88,87;87
data,1267398000000,15;2136;88,87;87
data,1270072800000,15;2546;89,87;87
data,1270072800000,15;4785;90,87;87
data,1270072800000,15;4802;91,87;87
data,1270072800000,15;4820;91,87;87
data,1272664800000,16;4839;91,87;87
data,1272664800000,16;4850;91,87;87
data,1272664800000,16;2969;91,87;87
data,1272664800000,16;4888;91,87;87
data,1272664800000,16;4903;91,87;87
data,1272664800000,16;1135;91,87;87
data,1272664800000,16;4924;91,87;87
data,1272664800000,16;4936;92,87;87
data,1275343200000,16;1969;92,87;87
data,1275343200000,16;776;93,87;87
data,1275343200000,16;2144;94,87;87
data,1275343200000,16;5001;94,87;87
data,1275343200000,16;5016;94,87;87
data,1277935200000,16;5029;95,87;87
data,1277935200000,16;5052;95,87;87
data,1277935200000,17;4233;95,87;87
data,1277935200000,17;5082;95,87;87
data,1280613600000,17;5096;95,87;87
data,1280613600000,17;5118;95,87;87
data,1280613600000,17;216;95,87;87
data,1280613600000,17;2068;95,87;87
data,1280613600000,17;5172;95,87;87
data,1280613600000,17;5176;95,87;87
data,1280613600000,17;1674;95,87;87
data,1280613600000,17;5200;96,87;87
data,1283292000000,18;5213;97,87;87
data,1285884000000,18;5232;97,87;87
data,1285884000000,18;1042;97,87;87
data,1285884000000,18;2837;97,87;87
data,1285884000000,18;612;98,87;87
data,1285884000000,18;5297;98,87;87
data,1285884000000,18;5311;98,87;87
data,1285884000000,18;5320;99,87;87
data,1285884000000,18;227;99,87;87
data,1285884000000,18;5311;99,87;87
data,1285884000000,18;5380;99,87;87
data,1285884000000,18;5386;99,87;87
data,1285884000000,18;5410;99,87;87
data,1285884000000,18;1436;99,87;87
data,1285884000000,18;5430;99,87;87
data,1285884000000,18;5449;99,87;87
data,1285884000000,18;5459;100,87;87
data,1285884000000,18;2196;100,87;87
data,1285884000000,18;3373;100,87;87
data,1285884000000,18;1974;101,87;87
data,1285884000000,18;5518;102,87;87
data,1285884000000,18;4479;103,87;87
data,1285884000000,18;3270;103,87;87
data,1285884000000,19;5558;103,87;87
data,1285884000000,19;5566;104,87;87
data,1285884000000,19;1468;105,87;87
data,1285884000000,19;5596;105,87;87
data,1285884000000,19;5622;105,87;87
data,1285884000000,19;2541;105,87;87
data,1285884000000,19;5638;106,87;87
data,1285884000000,19;5665;106,87;87
data,1285884000000,20;4798;106,87;87
data,1285884000000,20;5689;106,87;87
data,1285884000000,20;5701;107,87;87
data,1285884000000,21;5721;107,87;87
data,1285884000000,21;5724;108,87;87
data,1285884000000,21;4123;108,87;87
data,1285884000000,21;3738;108,87;87
data,1285884000000,21;5772;109,87;87
data,1285884000000,21;5796;109,87;87
data,1285884000000,21;2938;109,87;87
data,1285884000000,21;4903;109,87;87
data,1285884000000,21;5839;109,87;87
data,1285884000000,21;5854;109,87;87
data,1285884000000,21;2539;109,87;87
data,1285884000000,21;5873;109,87;87
data,1285884000000,21;5878;110,87;87
data,1285884000000,21;5892;111,87;87
data,1285884000000,21;5917;111,87;87
data,1285884000000,21;3460;111,87;87
data,1285884000000,21;3215;111,87;87
data,1285884000000,22;5954;112,87;87
data,1285884000000,22;259;112,87;87
data,1285884000000,22;4117;113,87;87
data,1285884000000,22;6007;113,87;87
data,1285884000000,22;6009;114,87;87
data,1285884000000,22;6039;114,87;87
data,1285884000000,22;2856;115,87;87
data,1285884000000,22;3373;115,87;87
data,1285884000000,22;6067;116,87;87
data,1285884000000,22;2368;117,87;87
data,1285884000000,23;6097;117,87;87
data,1285884000000,23;6112;117,87;87
data,1285884000000,23;1054;117,87;87
data,1285884000000,23;6130;118,87;87
data,1285884000000,23;1481;118,87;87
data,1285884000000,23;2249;119,87;87
data,1285884000000,23;6168;120,87;87
data,1285884000000,23;1819;121,87;87
data,1285884000000,23;6210;121,87;87
data,1285884000000,23;6218;121,87;87
data,1285884000000,23;2609;122,87;87
data,1288566000000,23;2588;123,87;87
data,1288566000000,23;6255;123,87;87
data,1288566000000,23;6278;123,87;87
data,1288566000000,23;6294;123,87;87
data,1288566000000,23;6301;123,87;87
data,1288566000000,23;2588;124,87;87
data,1288566000000,23;1418;124,87;87
data,1288566000000,23;161;124,87;87
data,1288566000000,23;5348;124,87;87
data,1288566000000,23;4299;124,87;87
data,1288566000000,23;6391;124,87;87
data,1288566000000,23;2603;124,87;87
data,1288566000000,23;6409;124,87;87
data,1288566000000,23;6423;125,87;87
data,1288566000000,23;6444;125,87;87
data,1288566000000,23;753;126,87;87
data,1288566000000,23;6465;126,87;87
data,1288566000000,23;2368;127,87;87
data,1288566000000,24;6495;127,87;87
data,1288566000000,24;6505;127,87;87
data,1288566000000,24;4479;128,87;87
data,1288566000000,24;1032;129,87;87
data,1288566000000,24;4392;130,87;87
data,1288566000000,24;5553;131,87;87
data,1288566000000,24;6544;132,87;87
data,1288566000000,24;2603;132,87;87
data,1288566000000,24;6569;133,87;87
data,1288566000000,24;3836;133,87;87
data,1288566000000,24;4494;134,87;87
data,1288566000000,24;6605;135,87;87
data,1288566000000,24;6625;135,87;87
data,1288566000000,24;918;135,87;87
data,1288566000000,24;1332;136,87;87
data,1288566000000,24;2129;136,87;87
data,1288566000000,24;6666;136,87;87
data,1288566000000,24;5320;137,87;87
data,1288566000000,24;2938;137,87;87
data,1288566000000,24;6698;138,87;87
data,1288566000000,24;4001;139,87;87
data,1288566000000,24;6728;140,87;87
data,1288566000000,24;4399;140,87;87
data,1288566000000,24;6757;140,87;87
data,1288566000000,24;1491;141,87;87
data,1288566000000,24;5460;141,87;87
data,1288566000000,24;6789;141,87;87
data,1288566000000,24;6797;141,87;87
data,1288566000000,24;3431;141,87;87
data,1288566000000,24;6817;142,87;87
data,1288566000000,24;6834;142,87;87
data,1288566000000,24;2113;142,87;87
data,1288566000000,24;6846;143,87;87
data,1288566000000,24;6856;144,87;87
data,1288566000000,24;5359;144,87;87
data,1288566000000,24;1608;144,87;87
data,1288566000000,24;6901;144,87;87
data,1288566000000,24;6295;144,87;87
data,1288566000000,24;6919;144,87;87
data,1288566000000,24;6935;144,87;87
data,1288566000000,24;1929;145,87;87
data,1288566000000,25;6962;145,87;87
data,1288566000000,25;6963;146,87;87
data,1288566000000,25;6210;146,87;87
data,1288566000000,25;5566;147,87;87
data,1288566000000,25;7006;147,87;87
data,1288566000000,25;1787;147,87;87
data,1288566000000,25;7034;147,87;87
data,1288566000000,25;5906;147,87;87
data,1288566000000,25;7063;147,87;87
data,1288566000000,25;5518;148,87;87
data,1288566000000,26;1468;149,87;87
data,1288566000000,26;3881;149,87;87
data,1288566000000,26;6075;149,87;87
data,1288566000000,26;7112;150,87;87
data,1288566000000,26;2133;150,87;87
data,1288566000000,26;5232;150,87;87
data,1288566000000,26;776;151,87;87
data,1288566000000,26;3742;151,87;87
data,1288566000000,26;7175;151,87;87
data,1288566000000,26;7184;151,87;87
data,1288566000000,26;7189;152,87;87
data,1288566000000,27;775;152,87;87
data,1288566000000,27;7212;153,87;87
data,1288566000000,27;5429;153,87;87
data,1288566000000,27;7243;153,87;87
data,1288566000000,27;3746;154,87;87
data,1288566000000,27;5629;154,87;87
data,1288566000000,27;5291;155,87;87
data,1288566000000,27;7294;155,87;87
data,1288566000000,27;1009;156,87;87
data,1288566000000,27;7309;157,87;87
data,1288566000000,27;7326;157,87;87
data,1288566000000,27;2799;158,87;87
data,1288566000000,27;7341;158,87;87
data,1288566000000,27;7367;158,87;87
data,1288566000000,27;5629;158,87;87
data,1288566000000,27;6039;158,87;87
data,1288566000000,27;6156;158,87;87
data,1288566000000,27;1226;158,87;87
data,1288566000000,27;7407;158,87;87
data,1288566000000,27;2337;158,87;87
data,1288566000000,27;7431;159,87;87
data,1288566000000,27;2359;159,87;87
data,1288566000000,27;3652;160,87;87
data,1288566000000,27;2602;160,87;87
data,1288566000000,27;273;161,87;87
data,1288566000000,27;1516;162,87;87
