New Run at  08/03/2017 21:33:53
, Time, RandomReward; Master_UniformLCBReward; 
data,1191189600000,0;11;0
data,1191189600000,0;32;0
data,1191189600000,0;62;0
data,1191189600000,0;84;0
data,1193871600000,0;117;0
data,1196463600000,0;140;0
data,1199142000000,0;171;0
data,1199142000000,0;197;0
data,1199142000000,0;202;0
data,1199142000000,0;227;0
data,1199142000000,0;250;0
data,1199142000000,1;293;0
data,1199142000000,1;313;0
data,1199142000000,1;328;0
data,1201820400000,1;368;0
data,1204326000000,1;377;0
data,1204326000000,1;413;0
data,1204326000000,1;423;0
data,1204326000000,1;441;1
data,1204326000000,1;486;1
data,1204326000000,1;502;1
data,1204326000000,1;528;1
data,1204326000000,1;547;1
data,1204326000000,1;570;1
data,1204326000000,1;593;1
data,1204326000000,1;627;1
data,1207000800000,1;2;1
data,1207000800000,1;681;1
data,1207000800000,1;696;1
data,1207000800000,1;723;1
data,1207000800000,1;740;1
data,1207000800000,1;758;1
data,1207000800000,1;778;1
data,1207000800000,1;823;1
data,1207000800000,1;827;1
data,1207000800000,1;860;1
data,1207000800000,1;882;1
data,1207000800000,1;313;1
data,1207000800000,1;930;1
data,1207000800000,1;940;1
data,1207000800000,1;971;1
data,1207000800000,1;993;1
data,1207000800000,1;1029;1
data,1207000800000,1;1033;1
data,1209592800000,1;1062;1
data,1209592800000,1;1097;1
data,1209592800000,1;1104;1
data,1209592800000,1;1123;2
data,1209592800000,1;193;2
data,1209592800000,1;1181;2
data,1209592800000,1;1203;2
data,1209592800000,1;1227;2
data,1209592800000,1;1237;3
data,1209592800000,1;1264;3
data,1209592800000,1;1285;3
data,1209592800000,2;1313;3
data,1212271200000,2;1343;3
data,1212271200000,2;1366;3
data,1212271200000,2;1382;3
data,1212271200000,2;1412;3
data,1212271200000,2;1431;3
data,1212271200000,2;1464;3
data,1212271200000,2;1469;3
data,1212271200000,2;1509;3
data,1212271200000,2;1525;3
data,1212271200000,2;1552;3
data,1212271200000,2;1509;3
data,1212271200000,2;1594;3
