New Run at  10/31/2017 20:28:11
, Time, RandomReward; UniformAdTSReward, ClusterID;UserID;UniformAdTSModelUsed,
data,1191189600000,1;16;0,14;87
data,1191189600000,1;38;0,14;87
data,1191189600000,1;57;0,14;87
data,1191189600000,1;77;0,14;87
data,1193871600000,1;112;0,14;87
data,1196463600000,1;144;0,14;87
data,1199142000000,1;165;0,14;87
data,1199142000000,1;197;0,14;87
data,1199142000000,1;204;0,14;87
data,1199142000000,1;242;0,14;87
data,1199142000000,1;268;0,14;87
data,1199142000000,1;287;0,14;87
data,1199142000000,1;298;0,14;87
data,1199142000000,1;328;0,14;87
data,1201820400000,2;351;0,14;87
data,1204326000000,2;371;0,14;87
data,1204326000000,2;413;0,14;87
data,1204326000000,2;423;0,14;87
data,1204326000000,2;455;0,14;87
data,1204326000000,2;486;0,14;87
data,1204326000000,2;212;0,14;87
data,1204326000000,2;517;0,14;87
data,1204326000000,2;553;0,14;87
data,1204326000000,2;583;0,14;87
data,1204326000000,2;597;0,14;87
data,1204326000000,2;631;0,14;87
data,1207000800000,2;658;0,14;87
data,1207000800000,2;678;0,14;87
data,1207000800000,2;697;0,14;87
data,1207000800000,2;619;0,14;87
data,1207000800000,2;742;0,14;87
data,1207000800000,2;774;0,14;87
data,1207000800000,2;776;1,14;87
data,1207000800000,2;805;1,14;87
data,1207000800000,2;825;1,14;87
data,1207000800000,2;848;2,14;87
data,1207000800000,2;887;2,14;87
data,1207000800000,2;894;3,14;87
data,1207000800000,2;916;4,14;87
data,1207000800000,2;963;4,14;87
data,1207000800000,2;985;4,14;87
data,1207000800000,2;1008;4,14;87
data,1207000800000,2;1014;4,14;87
data,1207000800000,2;1053;4,14;87
data,1209592800000,2;1076;4,14;87
data,1209592800000,2;1096;4,14;87
data,1209592800000,2;222;4,14;87
data,1209592800000,2;1146;4,14;87
data,1209592800000,2;1168;4,14;87
data,1209592800000,2;1185;4,14;87
data,1209592800000,2;171;4,14;87
data,1209592800000,2;1226;4,14;87
data,1209592800000,3;1252;4,14;87
data,1209592800000,3;1267;4,14;87
data,1209592800000,3;1291;4,14;87
data,1209592800000,4;1323;4,14;87
data,1212271200000,4;1338;4,14;87
data,1212271200000,4;1354;5,14;87
data,1212271200000,4;1382;5,14;87
data,1212271200000,4;776;6,14;87
data,1212271200000,4;848;7,14;87
data,1212271200000,4;1446;8,14;87
data,1212271200000,4;1481;8,14;87
data,1212271200000,4;1491;9,14;87
data,1212271200000,4;1516;10,14;87
data,1212271200000,4;1541;10,14;87
data,1212271200000,4;1568;10,14;87
data,1212271200000,4;1585;10,14;87
data,1212271200000,4;1603;11,14;87
data,1212271200000,4;1630;11,14;87
data,1212271200000,4;1667;11,14;87
data,1212271200000,4;777;11,14;87
data,1212271200000,4;847;11,14;87
data,1212271200000,4;1712;12,14;87
data,1212271200000,4;1747;12,14;87
data,1212271200000,4;1516;13,14;87
data,1212271200000,4;1781;13,14;87
data,1212271200000,4;1811;13,14;87
data,1212271200000,4;1832;13,14;87
data,1212271200000,4;1842;13,14;87
data,1212271200000,4;1872;13,14;87
data,1214863200000,4;1885;14,14;87
data,1214863200000,4;1913;14,14;87
data,1214863200000,4;1929;15,14;87
data,1214863200000,4;1955;15,14;87
data,1214863200000,5;1984;15,14;87
data,1214863200000,5;2015;15,14;87
data,1214863200000,5;2020;16,14;87
data,1214863200000,5;2051;16,14;87
data,1214863200000,5;1446;17,14;87
data,1214863200000,5;2098;17,14;87
data,1214863200000,5;2113;17,14;87
data,1214863200000,5;2136;17,14;87
data,1214863200000,5;2144;18,14;87
data,1214863200000,5;2173;18,14;87
data,1217541600000,5;2190;19,14;87
data,1217541600000,5;340;19,14;87
data,1217541600000,5;2183;19,14;87
data,1217541600000,5;2254;19,14;87
data,1217541600000,5;2268;20,14;87
data,1217541600000,5;2300;20,14;87
data,1217541600000,5;2312;20,14;87
data,1217541600000,5;2337;20,14;87
data,1217541600000,5;2350;20,14;87
data,1217541600000,5;2368;21,14;87
data,1217541600000,5;2393;21,14;87
data,1217541600000,5;2423;21,14;87
data,1217541600000,5;961;21,14;87
data,1217541600000,5;2466;21,14;87
data,1220220000000,5;2129;21,14;87
data,1220220000000,5;162;21,14;87
data,1220220000000,5;2517;21,14;87
data,1220220000000,5;1712;22,14;87
data,1220220000000,5;2546;23,14;87
data,1220220000000,5;2577;23,14;87
data,1220220000000,5;2598;23,14;87
data,1220220000000,5;2622;23,14;87
data,1220220000000,5;2639;23,14;87
data,1220220000000,6;2669;23,14;87
data,1220220000000,6;2694;23,14;87
data,1220220000000,6;2700;23,14;87
data,1220220000000,6;2726;23,14;87
data,1220220000000,6;2755;23,14;87
data,1220220000000,6;2763;23,14;87
data,1220220000000,6;2784;23,14;87
data,1222812000000,6;2801;23,14;87
data,1222812000000,6;2816;24,14;87
data,1222812000000,6;916;25,14;87
data,1222812000000,6;2860;25,14;87
data,1222812000000,7;1338;25,14;87
data,1222812000000,7;2900;25,14;87
data,1222812000000,7;2910;26,14;87
data,1222812000000,7;2944;26,14;87
data,1222812000000,7;2946;27,14;87
data,1222812000000,7;2968;28,14;87
data,1222812000000,7;2989;29,14;87
data,1222812000000,7;2510;30,14;87
data,1222812000000,7;3025;31,14;87
data,1222812000000,7;3041;32,14;87
data,1222812000000,7;385;32,14;87
data,1222812000000,7;3079;33,14;87
data,1225494000000,7;3117;33,14;87
data,1225494000000,7;1525;33,14;87
data,1225494000000,7;3140;33,14;87
data,1228086000000,7;3163;33,14;87
data,1228086000000,7;3195;33,14;87
data,1228086000000,7;270;33,14;87
data,1228086000000,7;3225;33,14;87
data,1230764400000,7;3250;33,14;87
data,1230764400000,7;3275;33,14;87
data,1230764400000,7;3285;33,14;87
data,1233442800000,7;3311;33,14;87
data,1233442800000,7;3322;34,14;87
data,1233442800000,7;1929;35,14;87
data,1233442800000,7;3373;35,14;87
data,1235862000000,7;3283;35,14;87
data,1235862000000,7;529;35,14;87
data,1235862000000,7;3417;36,14;87
data,1235862000000,7;3444;36,14;87
data,1235862000000,7;3473;36,14;87
data,1235862000000,7;3477;36,14;87
data,1235862000000,7;3195;36,14;87
data,1235862000000,7;2456;36,14;87
data,1238536800000,7;3529;37,14;87
data,1238536800000,7;3560;37,14;87
data,1238536800000,7;3566;37,14;87
data,1238536800000,7;3590;37,14;87
data,1238536800000,7;2968;38,14;87
data,1241128800000,7;3630;38,14;87
data,1241128800000,7;3157;38,14;87
data,1241128800000,8;3652;39,14;87
data,1241128800000,8;3673;40,14;87
data,1241128800000,8;3700;40,14;87
data,1241128800000,8;3727;40,14;87
data,1241128800000,8;3742;40,14;87
data,1243807200000,8;3746;41,14;87
data,1243807200000,8;3765;42,14;87
data,1243807200000,8;3779;43,14;87
data,1243807200000,8;3799;44,14;87
data,1246399200000,8;3821;44,14;87
data,1246399200000,8;3834;45,14;87
data,1246399200000,8;3856;45,14;87
data,1246399200000,8;3872;46,14;87
data,1246399200000,8;3888;46,14;87
data,1246399200000,8;3918;46,14;87
data,1246399200000,8;3924;46,14;87
data,1246399200000,8;3934;47,14;87
data,1246399200000,8;3964;47,14;87
data,1246399200000,8;3975;47,14;87
data,1249077600000,8;753;48,14;87
data,1249077600000,8;4001;49,14;87
data,1249077600000,8;4029;49,14;87
data,1249077600000,8;997;49,14;87
data,1249077600000,8;860;49,14;87
data,1249077600000,8;2922;49,14;87
data,1249077600000,8;4099;50,14;87
data,1249077600000,8;4117;51,14;87
data,1251756000000,8;4132;52,14;87
data,1251756000000,8;4155;52,14;87
data,1251756000000,9;89;52,14;87
data,1251756000000,9;4181;53,14;87
data,1251756000000,9;3673;54,14;87
data,1251756000000,9;1203;54,14;87
data,1254348000000,9;4233;54,14;87
data,1254348000000,9;4010;54,14;87
data,1254348000000,9;4258;55,14;87
data,1254348000000,9;2860;55,14;87
data,1254348000000,9;2726;55,14;87
data,1254348000000,9;2588;56,14;87
data,1254348000000,9;200;57,14;87
data,1254348000000,9;2414;57,14;87
data,1254348000000,9;4358;58,14;87
data,1254348000000,9;4383;58,14;87
data,1254348000000,9;4398;58,14;87
data,1257030000000,9;342;58,14;87
data,1257030000000,9;4439;58,14;87
data,1257030000000,9;4452;58,14;87
data,1257030000000,9;4478;58,14;87
data,1257030000000,9;4479;59,14;87
data,1259622000000,9;4494;60,14;87
data,1259622000000,9;4509;61,14;87
data,1259622000000,9;4534;61,14;87
data,1259622000000,9;4547;61,14;87
data,1259622000000,9;4561;61,14;87
data,1259622000000,9;4592;61,14;87
data,1259622000000,9;4602;61,14;87
data,1259622000000,9;4609;62,14;87
data,1259622000000,9;4629;63,14;87
data,1262300400000,9;4648;63,14;87
data,1262300400000,9;781;63,14;87
data,1264978800000,9;4674;64,14;87
data,1264978800000,9;2467;64,14;87
data,1264978800000,10;2187;64,14;87
data,1267398000000,10;423;64,14;87
data,1267398000000,10;4737;64,14;87
data,1267398000000,10;2136;64,14;87
data,1270072800000,10;2546;65,14;87
data,1270072800000,10;4798;65,14;87
data,1270072800000,10;4808;65,14;87
data,1270072800000,10;1422;65,14;87
data,1272664800000,10;4836;65,14;87
data,1272664800000,10;4850;65,14;87
data,1272664800000,10;4856;65,14;87
data,1272664800000,10;4872;65,14;87
data,1272664800000,10;4903;65,14;87
data,1272664800000,10;4908;66,14;87
data,1272664800000,10;4924;66,14;87
data,1272664800000,10;4939;66,14;87
data,1275343200000,10;1969;66,14;87
data,1275343200000,10;776;67,14;87
data,1275343200000,10;2144;68,14;87
data,1275343200000,10;5001;68,14;87
data,1275343200000,10;75;69,14;87
data,1277935200000,10;5033;69,14;87
data,1277935200000,10;3636;69,14;87
data,1277935200000,10;5063;69,14;87
data,1277935200000,10;5077;69,14;87
data,1280613600000,10;5096;69,14;87
data,1280613600000,10;4751;69,14;87
data,1280613600000,10;5128;69,14;87
data,1280613600000,10;5138;70,14;87
data,1280613600000,10;5168;70,14;87
data,1280613600000,10;5176;70,14;87
data,1280613600000,10;1674;70,14;87
data,1280613600000,10;1193;70,14;87
data,1283292000000,10;5213;71,14;87
data,1285884000000,10;5232;71,14;87
data,1285884000000,10;1042;71,14;87
data,1285884000000,10;5265;71,14;87
data,1285884000000,10;612;72,14;87
data,1285884000000,10;440;72,14;87
data,1285884000000,10;5311;72,14;87
data,1285884000000,10;5329;72,14;87
