New Run at  08/08/2018 22:53:11
, Time, RandomReward; M_LinUCBReward, ClusterID;UserID;M_LinUCBModelUsed,
data,1238536800000,0;7;0.0,144;1
data,1238536800000,0;39;0.0,144;1
data,1238536800000,0;60;0.0,144;1
data,1238536800000,0;92;0.0,144;1
data,1238536800000,0;112;0.0,144;1
data,1241128800000,0;133;0.0,144;1
data,1241128800000,0;153;0.0,144;1
data,1241128800000,0;188;0.0,144;1
data,1241128800000,0;215;0.0,144;1
data,1241128800000,0;245;0.0,144;1
data,1233442800000,0;251;0.0,100;2
data,1233442800000,0;276;0.0,100;2
data,1233442800000,0;298;0.0,100;2
data,1233442800000,0;334;0.0,100;2
data,1235862000000,1;354;0.0,100;2
data,1235862000000,1;381;0.0,100;2
data,1235862000000,1;410;0.0,100;2
data,1246399200000,1;431;0.0,100;2
data,1246399200000,1;444;0.0,100;2
data,1246399200000,1;478;0.0,100;2
data,1249077600000,1;504;0.0,100;2
data,1249077600000,1;141;0.0,100;2
data,1251756000000,1;548;0.0,100;2
data,1251756000000,1;561;0.0,100;2
data,1251756000000,1;596;0.0,100;2
data,1251756000000,1;603;0.0,100;2
data,1254348000000,1;643;0.0,100;2
data,1254348000000,1;654;0.0,100;2
data,1254348000000,1;683;0.0,100;2
data,1257030000000,1;694;0.0,100;2
data,1264978800000,1;724;0.0,100;2
data,1264978800000,1;745;0.0,100;2
data,1264978800000,1;784;0.0,100;2
data,1264978800000,1;789;0.0,100;2
data,1267398000000,1;828;0.0,100;2
data,1267398000000,1;835;0.0,100;2
data,1272664800000,1;853;0.0,100;2
data,1280613600000,1;897;0.0,100;2
data,1280613600000,1;904;0.0,100;2
data,1280613600000,1;929;0.0,100;2
data,1280613600000,1;85;0.0,100;2
data,1283292000000,1;971;0.0,100;2
data,1285884000000,1;991;0.0,100;2
data,1288566000000,1;1016;0.0,100;2
data,1288566000000,1;1028;0.0,100;2
data,1172703600000,1;1063;0.0,128;3
data,1172703600000,2;1075;0.0,128;3
data,1172703600000,2;1090;1.0,128;3
data,1172703600000,2;1115;2.0,128;3
data,1172703600000,2;1147;2.0,128;3
data,1172703600000,2;1179;2.0,128;3
data,1172703600000,2;1195;2.0,128;3
data,1175378400000,2;1211;2.0,128;3
data,1175378400000,2;1229;3.0,128;3
data,1175378400000,2;1274;3.0,128;3
data,1175378400000,2;1279;3.0,128;3
data,1177970400000,2;1312;3.0,128;3
data,1177970400000,2;1334;3.0,128;3
data,1177970400000,2;1354;3.0,128;3
data,1177970400000,2;1372;3.0,128;3
data,1180648800000,2;849;3.0,128;3
data,1180648800000,2;916;3.0,128;3
data,1180648800000,3;1451;3.0,128;3
data,1180648800000,3;1475;3.0,128;3
