New Run at  08/10/2018 21:08:45
, Time, RandomReward; M_Master_LCBIntervalReward, ClusterID;UserID;M_Master_LCBIntervalModelUsed,
data,1238536800000,0;7;0.0,144;1
data,1238536800000,0;39;0.0,144;1
data,1238536800000,0;60;0.0,144;1
data,1238536800000,0;92;0.0,144;1
data,1238536800000,0;112;0.0,144;1
data,1241128800000,0;133;0.0,144;1
data,1241128800000,0;153;0.0,144;1
data,1241128800000,0;188;0.0,144;1
data,1241128800000,0;215;0.0,144;1
data,1241128800000,0;245;0.0,144;1
data,1233442800000,0;251;0.0,100;2
data,1233442800000,0;276;0.0,100;2
data,1233442800000,0;298;0.0,100;2
data,1233442800000,0;334;0.0,100;2
data,1235862000000,0;354;0.0,100;2
data,1235862000000,0;381;0.0,100;2
data,1235862000000,0;410;0.0,100;2
data,1246399200000,0;431;0.0,100;2
data,1246399200000,0;444;0.0,100;2
data,1246399200000,0;478;0.0,100;2
data,1249077600000,0;504;0.0,100;2
data,1249077600000,0;141;0.0,100;2
data,1251756000000,0;548;0.0,100;2
data,1251756000000,0;561;0.0,100;2
data,1251756000000,0;596;0.0,100;2
data,1251756000000,0;603;0.0,100;2
data,1254348000000,0;643;0.0,100;2
data,1254348000000,0;654;0.0,100;2
data,1254348000000,0;683;0.0,100;2
data,1257030000000,0;694;0.0,100;2
data,1264978800000,0;724;0.0,100;2
data,1264978800000,0;745;0.0,100;2
data,1264978800000,0;784;0.0,100;2
data,1264978800000,0;789;0.0,100;2
data,1267398000000,0;828;0.0,100;2
data,1267398000000,0;835;0.0,100;2
data,1272664800000,0;853;0.0,100;2
data,1280613600000,0;897;0.0,100;2
data,1280613600000,0;904;0.0,100;2
data,1280613600000,0;929;0.0,100;2
data,1280613600000,0;85;0.0,100;2
data,1283292000000,0;971;0.0,100;2
data,1285884000000,0;991;0.0,100;2
data,1288566000000,0;1016;0.0,100;2
data,1288566000000,0;1028;0.0,100;2
data,1172703600000,0;1063;0.0,128;3
data,1172703600000,0;1075;0.0,128;3
data,1172703600000,0;1090;1.0,128;3
data,1172703600000,0;1115;2.0,128;3
data,1172703600000,0;1147;2.0,128;3
data,1172703600000,0;1179;2.0,128;3
data,1172703600000,0;1195;2.0,128;3
data,1175378400000,0;1211;2.0,128;3
data,1175378400000,0;1229;3.0,128;3
data,1175378400000,0;1274;3.0,128;3
data,1175378400000,0;1279;3.0,128;3
data,1177970400000,0;1312;3.0,128;3
data,1177970400000,0;1334;3.0,128;3
data,1177970400000,0;1354;3.0,128;3
data,1177970400000,0;1372;3.0,128;3
data,1180648800000,0;849;3.0,128;3
data,1180648800000,0;916;3.0,128;3
data,1180648800000,0;1451;3.0,128;3
data,1180648800000,0;1475;3.0,128;3
