New Run at  07/14/2017 15:34:22
, Time, RandomReward; Master_ActiveReward; 
data,1238536800000,0;7;0
data,1238536800000,0;39;0
data,1238536800000,0;60;0
data,1238536800000,0;92;0
data,1238536800000,0;112;0
data,1241128800000,0;133;0
data,1241128800000,1;153;0
data,1241128800000,1;188;0
data,1241128800000,1;215;0
data,1241128800000,1;245;0
data,1233442800000,1;251;0
data,1233442800000,1;276;0
data,1233442800000,1;298;0
data,1233442800000,1;334;0
data,1235862000000,1;354;0
data,1235862000000,1;381;0
data,1235862000000,1;410;0
data,1246399200000,1;431;0
data,1246399200000,1;444;0
data,1246399200000,1;478;0
data,1249077600000,1;504;0
data,1249077600000,1;141;0
data,1251756000000,1;548;0
data,1251756000000,1;561;0
data,1251756000000,1;596;0
data,1251756000000,1;603;0
data,1254348000000,1;643;0
data,1254348000000,1;654;0
data,1254348000000,1;683;0
data,1257030000000,1;694;0
data,1264978800000,1;724;0
data,1264978800000,1;745;0
data,1264978800000,1;784;0
data,1264978800000,1;789;0
data,1267398000000,2;828;0
data,1267398000000,2;835;0
data,1272664800000,2;853;0
data,1280613600000,2;897;0
data,1280613600000,2;904;0
data,1280613600000,2;929;0
data,1280613600000,2;85;0
data,1283292000000,3;971;0
data,1285884000000,3;991;0
data,1288566000000,3;1016;0
data,1288566000000,3;1028;0
data,1172703600000,3;1063;0
data,1172703600000,3;1075;0
data,1172703600000,3;1090;1
data,1172703600000,3;1115;2
data,1172703600000,3;1147;2
data,1172703600000,3;1179;2
data,1172703600000,3;1195;2
data,1175378400000,3;1211;2
data,1175378400000,3;1229;3
data,1175378400000,3;1274;3
data,1175378400000,3;1279;3
data,1177970400000,3;1312;3
data,1177970400000,3;1334;3
data,1177970400000,3;1354;3
data,1177970400000,3;1372;3
data,1180648800000,3;849;3
data,1180648800000,3;916;3
data,1180648800000,3;1451;3
data,1180648800000,3;1475;3
data,1180648800000,3;1482;4
data,1180648800000,3;186;5
data,1180648800000,3;1529;5
data,1180648800000,3;1556;5
data,1180648800000,3;1564;6
data,1180648800000,3;1596;6
data,1183240800000,3;436;6
data,1185919200000,3;1650;6
