New Run at  07/13/2017 20:13:27
, Time, RandomReward; N_LinUCBReward; 
data,1172703600000,0;18;0
data,1172703600000,0;34;0
data,1172703600000,0;49;1
data,1172703600000,0;74;2
data,1172703600000,0;110;2
data,1172703600000,1;145;2
data,1172703600000,1;162;2
data,1175378400000,2;179;2
data,1175378400000,2;198;3
data,1175378400000,2;245;3
data,1175378400000,2;250;3
data,1177970400000,2;285;3
data,1177970400000,2;309;3
data,1177970400000,2;331;3
data,1177970400000,2;352;3
data,1180648800000,2;393;3
data,1180648800000,2;416;3
data,1180648800000,2;434;3
data,1180648800000,2;460;3
data,1180648800000,2;468;4
data,1180648800000,2;492;5
data,1180648800000,2;520;5
data,1180648800000,2;550;5
data,1180648800000,3;563;6
data,1180648800000,3;595;6
data,1183240800000,3;626;6
data,1185919200000,4;658;6
data,1188597600000,4;681;6
data,1188597600000,4;695;6
data,1188597600000,4;716;6
data,1191189600000,4;734;6
data,1191189600000,4;757;6
data,1191189600000,4;789;6
data,1191189600000,4;802;7
data,1191189600000,4;840;7
data,1191189600000,4;866;7
data,1191189600000,4;877;7
data,1191189600000,4;899;8
data,1191189600000,4;942;8
data,1191189600000,4;969;8
data,1191189600000,4;992;8
data,1191189600000,5;1001;8
data,1191189600000,5;1020;8
data,1191189600000,5;1044;8
data,1191189600000,5;1060;9
data,1191189600000,5;1086;9
data,1191189600000,5;1111;9
data,1191189600000,5;1139;9
data,1193871600000,5;1160;9
data,1193871600000,5;1193;9
data,1196463600000,5;1219;9
data,1196463600000,5;9;9
data,1196463600000,5;1258;9
data,1196463600000,6;1283;9
data,1196463600000,7;1285;10
data,1196463600000,7;1139;10
data,1196463600000,7;1345;10
data,1207000800000,7;1370;10
data,1209592800000,7;347;11
data,1259622000000,7;396;12
data,1193871600000,7;1426;12
data,1193871600000,7;1453;12
data,1193871600000,7;1481;12
data,1193871600000,7;1439;12
data,1193871600000,7;1520;12
data,1193871600000,7;1541;12
data,1193871600000,7;1554;12
data,1193871600000,7;1577;12
data,1193871600000,7;1607;12
data,1193871600000,7;1627;12
data,1193871600000,7;1634;12
data,1193871600000,7;992;12
data,1193871600000,7;1694;12
data,1193871600000,7;1706;12
data,1193871600000,7;1726;12
data,1193871600000,7;1759;12
data,1193871600000,7;1781;12
data,1193871600000,7;1785;12
data,1193871600000,8;1823;12
data,1193871600000,8;1843;12
data,1193871600000,8;1849;13
data,1193871600000,8;1869;13
data,1193871600000,8;1895;13
data,1193871600000,8;819;14
data,1193871600000,8;1945;14
data,1193871600000,8;1952;15
data,1193871600000,8;1979;15
data,1193871600000,8;1992;15
data,1193871600000,8;2018;15
data,1193871600000,8;2037;16
data,1193871600000,8;2070;16
data,1193871600000,8;2087;16
data,1193871600000,8;2109;16
data,1193871600000,8;2140;16
data,1193871600000,8;2141;17
data,1193871600000,8;2174;17
data,1193871600000,8;2193;17
data,1193871600000,8;2199;18
data,1193871600000,8;2219;19
data,1193871600000,9;2251;19
data,1193871600000,9;49;20
data,1193871600000,9;2297;20
data,1193871600000,9;1937;20
data,1193871600000,9;47;21
data,1193871600000,9;2346;22
data,1193871600000,9;2373;22
data,1193871600000,9;2388;22
data,1193871600000,9;2404;22
data,1193871600000,9;2429;22
data,1193871600000,9;2446;23
data,1193871600000,9;2480;23
data,1193871600000,9;1229;23
data,1193871600000,9;2523;23
data,1193871600000,9;2534;23
data,1193871600000,9;1912;23
data,1193871600000,9;2570;24
data,1193871600000,9;2601;24
data,1196463600000,9;2613;24
data,1199142000000,9;726;25
data,1207000800000,9;2662;25
data,1207000800000,9;2673;25
data,1209592800000,9;2705;25
data,1209592800000,9;2720;25
data,1209592800000,9;2741;25
data,1209592800000,9;2764;25
data,1209592800000,9;2770;25
data,1209592800000,9;2794;25
data,1209592800000,10;2037;26
data,1209592800000,10;2834;26
data,1209592800000,10;2857;26
data,1209592800000,10;2879;26
data,1209592800000,10;2895;26
data,1209592800000,10;2927;26
data,1209592800000,10;2952;26
data,1209592800000,10;2962;26
data,1209592800000,10;2984;26
data,1209592800000,10;3005;26
data,1209592800000,10;3016;26
data,1209592800000,10;1122;27
data,1209592800000,10;3053;27
data,1209592800000,10;3066;27
data,1209592800000,10;2286;28
data,1209592800000,10;3116;28
data,1209592800000,10;3125;28
data,1209592800000,10;3148;28
data,1209592800000,11;3149;29
data,1209592800000,11;250;30
data,1209592800000,11;1062;30
data,1209592800000,11;3213;30
data,1209592800000,11;2219;31
data,1209592800000,11;3246;31
data,1209592800000,11;3274;31
data,1209592800000,12;3281;32
