New Run at  07/13/2017 15:50:07
, Time, RandomReward; Master_UniformLCBReward; 
data,1172703600000,0;18;0
data,1172703600000,0;34;0
data,1172703600000,0;49;1
data,1172703600000,0;74;2
data,1172703600000,0;110;2
data,1172703600000,0;145;2
data,1172703600000,0;162;2
data,1175378400000,0;179;2
data,1175378400000,0;198;3
data,1175378400000,0;245;3
data,1175378400000,0;250;3
data,1177970400000,0;285;3
data,1177970400000,0;309;3
data,1177970400000,0;331;3
data,1177970400000,1;352;3
data,1180648800000,2;393;3
data,1180648800000,2;416;3
data,1180648800000,2;434;3
data,1180648800000,2;460;3
data,1180648800000,2;468;4
data,1180648800000,2;492;5
data,1180648800000,2;520;5
data,1180648800000,2;550;5
data,1180648800000,2;563;6
data,1180648800000,2;595;6
data,1183240800000,2;626;6
data,1185919200000,2;658;6
data,1188597600000,2;681;6
data,1188597600000,2;695;6
data,1188597600000,3;716;6
data,1191189600000,3;734;6
data,1191189600000,3;757;6
data,1191189600000,3;789;6
data,1191189600000,3;802;7
data,1191189600000,3;840;7
data,1191189600000,3;866;7
data,1191189600000,3;877;7
data,1191189600000,3;899;8
data,1191189600000,3;942;8
data,1191189600000,3;969;8
data,1191189600000,3;989;8
data,1191189600000,3;1001;8
data,1191189600000,3;1020;8
data,1191189600000,3;1044;8
data,1191189600000,3;1060;9
data,1191189600000,3;1086;9
data,1191189600000,3;1111;9
data,1191189600000,3;1139;9
data,1193871600000,3;1160;9
data,1193871600000,4;1193;9
data,1196463600000,4;1219;9
data,1196463600000,4;9;9
data,1196463600000,4;1258;9
data,1196463600000,4;1283;9
data,1196463600000,4;1285;10
data,1196463600000,4;1139;10
data,1196463600000,4;1345;10
data,1207000800000,4;1370;10
data,1209592800000,4;347;11
data,1259622000000,4;396;12
data,1193871600000,4;1422;12
data,1193871600000,4;41;12
data,1193871600000,4;802;12
data,1193871600000,4;1499;12
data,1193871600000,4;1523;12
data,1193871600000,4;1543;12
data,1193871600000,5;1564;12
data,1193871600000,5;1588;12
data,1193871600000,5;1606;12
data,1193871600000,5;1624;12
data,1193871600000,6;1646;12
data,1193871600000,6;1673;12
data,1193871600000,6;1688;12
data,1193871600000,6;1696;13
data,1193871600000,6;1728;13
data,1193871600000,6;1745;13
data,1193871600000,6;1771;13
data,1193871600000,6;1789;13
data,1193871600000,6;1813;13
data,1193871600000,6;1828;13
data,1193871600000,6;1856;13
data,1193871600000,6;1869;13
data,1193871600000,6;1906;13
data,1193871600000,6;1914;13
data,1193871600000,7;1933;13
data,1193871600000,7;1970;13
data,1193871600000,7;1972;14
data,1193871600000,7;1993;14
data,1193871600000,7;2018;14
data,1193871600000,8;1592;14
data,1193871600000,8;1159;14
data,1193871600000,8;2093;14
data,1193871600000,8;2097;15
data,1193871600000,8;2136;15
data,1193871600000,8;266;15
data,1193871600000,8;2170;15
data,1193871600000,8;2165;15
data,1193871600000,9;2204;15
data,1193871600000,9;2222;15
data,1193871600000,9;2241;16
data,1193871600000,9;49;17
data,1193871600000,9;2286;18
data,1193871600000,9;2317;18
data,1193871600000,9;2345;18
data,1193871600000,9;2353;18
data,1193871600000,9;2377;18
data,1193871600000,9;2393;18
data,1193871600000,9;2413;18
data,1193871600000,10;2425;19
data,1193871600000,10;2464;19
data,1193871600000,10;472;20
data,1193871600000,10;2499;20
data,1193871600000,10;2527;20
data,1193871600000,10;2529;21
data,1193871600000,10;528;21
data,1193871600000,10;2583;21
data,1193871600000,10;2608;21
data,1196463600000,10;2627;21
data,1199142000000,10;2645;21
data,1207000800000,10;2646;22
data,1207000800000,10;2646;23
data,1209592800000,10;2689;23
data,1209592800000,10;2715;23
data,1209592800000,10;2737;23
data,1209592800000,10;2752;23
data,1209592800000,10;2774;23
data,1209592800000,10;2789;24
data,1209592800000,10;2807;24
data,1209592800000,10;2828;25
data,1209592800000,10;2860;25
data,1209592800000,10;2867;26
data,1209592800000,10;2893;26
data,1209592800000,10;1925;26
data,1209592800000,10;2938;26
data,1209592800000,10;2955;26
data,1209592800000,10;2984;26
data,1209592800000,10;3005;26
data,1209592800000,10;3011;26
data,1209592800000,10;3026;26
data,1209592800000,11;3045;27
data,1209592800000,11;97;27
data,1209592800000,11;2286;28
data,1209592800000,11;3099;28
data,1209592800000,11;3125;28
data,1209592800000,11;3148;28
data,1209592800000,11;3149;29
data,1209592800000,11;3175;29
data,1209592800000,11;3200;29
data,1209592800000,11;3213;29
data,1209592800000,11;1856;29
data,1209592800000,11;3246;29
data,1209592800000,12;466;29
data,1209592800000,12;3284;29
