New Run at  07/14/2017 15:39:43
, Time, RandomReward; N_LinUCBReward; 
data,1172703600000,0;18;0
data,1172703600000,0;34;0
data,1172703600000,0;49;1
data,1172703600000,0;74;2
data,1172703600000,0;110;2
data,1172703600000,0;145;2
data,1172703600000,0;162;2
data,1175378400000,0;179;2
data,1175378400000,0;198;3
data,1175378400000,0;245;3
data,1175378400000,0;250;3
data,1177970400000,1;285;3
data,1177970400000,1;309;3
data,1177970400000,1;331;3
data,1177970400000,1;352;3
data,1180648800000,1;393;3
data,1180648800000,1;416;3
data,1180648800000,1;434;3
data,1180648800000,1;460;3
data,1180648800000,1;468;4
data,1180648800000,1;492;5
data,1180648800000,1;520;5
data,1180648800000,1;550;5
data,1180648800000,1;563;6
data,1180648800000,1;595;6
data,1183240800000,1;626;6
data,1185919200000,1;658;6
data,1188597600000,1;681;6
data,1188597600000,1;695;6
data,1188597600000,1;716;6
data,1191189600000,1;734;6
data,1191189600000,1;757;6
data,1191189600000,1;789;6
data,1191189600000,1;802;7
data,1191189600000,1;840;7
data,1191189600000,1;866;7
data,1191189600000,1;877;7
data,1191189600000,1;899;8
data,1191189600000,1;942;8
data,1191189600000,1;969;8
data,1191189600000,1;992;8
data,1191189600000,1;1001;8
data,1191189600000,1;1020;8
data,1191189600000,1;1044;8
data,1191189600000,1;1060;9
data,1191189600000,1;1086;9
data,1191189600000,1;1111;9
data,1191189600000,1;1139;9
data,1193871600000,1;1160;9
data,1193871600000,1;1193;9
data,1196463600000,1;1219;9
data,1196463600000,1;9;9
data,1196463600000,1;1258;9
data,1196463600000,2;1283;9
data,1196463600000,2;1285;10
data,1196463600000,2;1139;10
data,1196463600000,2;1345;10
data,1207000800000,2;1370;10
data,1209592800000,2;347;11
data,1259622000000,2;396;12
data,1193871600000,2;1426;12
data,1193871600000,2;1453;12
data,1193871600000,2;1481;12
data,1193871600000,2;1439;12
data,1193871600000,2;1520;12
data,1193871600000,2;1541;12
data,1193871600000,2;1554;12
data,1193871600000,2;1577;12
data,1193871600000,2;1607;12
data,1193871600000,2;1627;12
data,1193871600000,2;1634;12
data,1193871600000,2;992;12
data,1193871600000,2;1694;12
data,1193871600000,2;1706;12
data,1193871600000,2;1726;12
data,1193871600000,2;1759;12
data,1193871600000,2;1781;12
data,1193871600000,2;1785;12
data,1193871600000,2;1823;12
data,1193871600000,2;1843;12
data,1193871600000,2;1849;13
data,1193871600000,2;1869;13
data,1193871600000,2;1895;13
data,1193871600000,2;819;14
data,1193871600000,2;1945;14
data,1193871600000,2;1952;15
data,1193871600000,2;1979;15
data,1193871600000,2;1992;15
data,1193871600000,2;2018;15
data,1193871600000,2;2037;16
data,1193871600000,2;2070;16
data,1193871600000,2;2087;16
data,1193871600000,2;2109;16
data,1193871600000,2;2140;16
data,1193871600000,2;2141;17
data,1193871600000,2;2174;17
data,1193871600000,2;2193;17
data,1193871600000,2;2199;18
data,1193871600000,2;2219;19
data,1193871600000,2;2251;19
data,1193871600000,2;49;20
data,1193871600000,2;2297;20
data,1193871600000,2;1937;20
data,1193871600000,2;47;21
data,1193871600000,2;2346;22
data,1193871600000,3;2377;22
data,1193871600000,3;2388;22
data,1193871600000,3;2404;22
data,1193871600000,3;2429;22
data,1193871600000,3;2446;23
data,1193871600000,3;2480;23
data,1193871600000,3;1229;23
data,1193871600000,3;2523;23
data,1193871600000,3;2534;23
data,1193871600000,3;1912;23
data,1193871600000,3;2570;24
data,1193871600000,3;2601;24
data,1196463600000,3;2613;24
data,1199142000000,3;726;25
data,1207000800000,4;2662;25
data,1207000800000,4;2673;25
data,1209592800000,4;2705;25
data,1209592800000,4;2720;25
data,1209592800000,4;2741;25
data,1209592800000,4;2764;25
data,1209592800000,4;2770;25
data,1209592800000,4;2794;25
data,1209592800000,4;2037;26
data,1209592800000,4;2834;26
data,1209592800000,4;2857;26
data,1209592800000,4;2879;26
data,1209592800000,4;2895;26
data,1209592800000,4;2927;26
data,1209592800000,4;2952;26
data,1209592800000,4;2962;26
data,1209592800000,4;2984;26
data,1209592800000,4;3005;26
data,1209592800000,4;3016;26
data,1209592800000,4;1122;27
data,1209592800000,4;3053;27
data,1209592800000,4;3066;27
data,1209592800000,4;2286;28
data,1209592800000,4;3116;28
data,1209592800000,4;3125;28
data,1209592800000,5;3148;28
data,1209592800000,5;3149;29
data,1209592800000,5;250;30
data,1209592800000,5;1062;30
data,1209592800000,5;3213;30
data,1209592800000,5;2219;31
data,1209592800000,5;3246;31
data,1209592800000,5;3274;31
data,1209592800000,5;3281;32
