New Run at  07/24/2017 14:49:10
, Time, RandomReward; UniformAdTSReward; 
data,1172703600000,0;0;1
data,1172703600000,0;47;1
data,1172703600000,0;52;1
data,1172703600000,0;96;1
data,1172703600000,0;109;1
data,1172703600000,0;137;1
data,1172703600000,0;153;1
data,1175378400000,0;174;2
data,1175378400000,0;211;2
data,1175378400000,0;239;2
data,1175378400000,0;267;2
data,1177970400000,0;274;2
data,1177970400000,0;312;2
data,1177970400000,0;336;2
data,1177970400000,0;371;2
data,1180648800000,0;378;2
data,1180648800000,0;417;2
data,1180648800000,0;424;2
data,1180648800000,0;449;2
data,1180648800000,1;471;2
data,1180648800000,1;493;2
data,1180648800000,1;524;2
data,1180648800000,1;542;2
data,1180648800000,1;582;2
data,1180648800000,1;591;2
data,1183240800000,2;616;2
data,1185919200000,2;653;2
data,1188597600000,2;681;2
data,1188597600000,3;694;2
data,1188597600000,3;713;2
data,1191189600000,3;751;2
data,1191189600000,3;757;2
data,1191189600000,3;799;2
data,1191189600000,3;826;2
data,1191189600000,3;828;2
data,1191189600000,3;869;2
data,1191189600000,3;888;2
data,1191189600000,4;905;2
data,1191189600000,4;923;3
data,1191189600000,4;959;3
data,1191189600000,4;985;3
data,1191189600000,4;1013;3
data,1191189600000,4;1037;3
data,1191189600000,4;1048;3
data,1191189600000,4;640;3
data,1191189600000,4;626;3
data,1191189600000,4;1126;3
data,1191189600000,4;1147;3
data,1193871600000,5;1159;3
data,1193871600000,5;858;3
data,1196463600000,5;1197;4
data,1196463600000,5;1241;4
data,1196463600000,5;1248;4
data,1196463600000,5;283;4
data,1196463600000,5;1302;4
data,1196463600000,5;1305;5
data,1196463600000,5;1337;5
data,1207000800000,5;1355;5
data,1209592800000,5;1385;5
data,1259622000000,5;1406;5
data,1193871600000,5;728;5
data,1193871600000,5;1448;5
data,1193871600000,5;1465;5
data,1193871600000,5;1499;5
data,1193871600000,5;528;5
data,1193871600000,5;606;5
data,1193871600000,5;1562;5
data,1193871600000,5;1570;5
data,1193871600000,5;1597;5
data,1193871600000,5;1620;5
data,1193871600000,5;921;5
data,1193871600000,5;1673;5
data,1193871600000,5;1690;5
data,1193871600000,5;1711;5
data,1193871600000,5;1724;5
data,1193871600000,5;1764;5
data,1193871600000,5;1770;5
data,1193871600000,5;1792;5
data,1193871600000,5;1820;5
data,1193871600000,5;1832;5
data,1193871600000,5;1853;5
data,1193871600000,5;1882;5
data,1193871600000,5;1899;5
data,1193871600000,5;1920;5
data,1193871600000,5;1929;5
data,1193871600000,5;404;5
data,1193871600000,5;1564;5
data,1193871600000,5;1992;5
data,1193871600000,5;2015;5
data,1193871600000,5;2049;5
data,1193871600000,5;757;5
data,1193871600000,5;1048;5
data,1193871600000,5;2108;5
data,1193871600000,5;2140;5
data,1193871600000,5;2153;5
data,1193871600000,5;2126;5
data,1193871600000,5;2181;5
data,1193871600000,5;2216;5
data,1193871600000,5;2226;5
data,1193871600000,5;2246;5
data,1193871600000,5;2272;5
data,1193871600000,5;2304;5
data,1193871600000,5;2317;5
data,1193871600000,5;2333;5
data,1193871600000,5;981;5
data,1193871600000,5;1218;5
data,1193871600000,5;2394;5
data,1193871600000,5;2408;5
data,1193871600000,5;2426;5
data,1193871600000,5;2451;5
data,1193871600000,5;2487;5
data,1193871600000,5;2504;5
data,1193871600000,5;2519;5
data,1193871600000,5;2535;5
data,1193871600000,5;1912;5
data,1193871600000,5;2578;5
data,1193871600000,5;2604;5
data,1196463600000,5;2623;5
data,1199142000000,5;1537;5
data,1207000800000,5;2654;5
data,1207000800000,5;1041;5
data,1209592800000,5;2704;5
data,1209592800000,5;2724;5
data,1209592800000,6;2745;5
data,1209592800000,6;2751;5
data,1209592800000,6;2785;5
data,1209592800000,6;1281;5
data,1209592800000,6;2825;5
data,1209592800000,6;2606;5
data,1209592800000,6;1726;5
data,1209592800000,6;2871;5
data,1209592800000,6;2892;5
data,1209592800000,6;1776;5
data,1209592800000,6;2939;5
data,1209592800000,6;2965;5
data,1209592800000,6;2976;5
data,1209592800000,7;992;5
data,1209592800000,7;3016;5
data,1209592800000,7;3038;5
data,1209592800000,7;3055;5
data,1209592800000,7;3066;5
data,1209592800000,7;530;5
data,1209592800000,7;514;5
data,1209592800000,7;3118;5
data,1209592800000,7;3145;5
data,1209592800000,7;3150;5
data,1209592800000,7;3179;5
data,1209592800000,7;3190;5
data,1209592800000,7;3215;5
data,1209592800000,7;3242;5
data,1209592800000,7;2924;5
data,1209592800000,7;3266;5
data,1209592800000,7;3299;5
data,1209592800000,7;2847;5
data,1209592800000,7;3321;5
data,1209592800000,7;3356;5
data,1209592800000,7;3366;5
data,1209592800000,7;2127;5
data,1209592800000,7;182;5
data,1209592800000,7;3416;5
