New Run at  07/13/2017 15:50:15
, Time, RandomReward; Uniform_LinUCBReward; 
data,1172703600000,0;18;0
data,1172703600000,0;34;0
data,1172703600000,0;49;1
data,1172703600000,0;74;2
data,1172703600000,0;110;2
data,1172703600000,0;145;2
data,1172703600000,0;162;2
data,1175378400000,0;179;2
data,1175378400000,0;198;3
data,1175378400000,0;245;3
data,1175378400000,0;250;3
data,1177970400000,0;285;3
data,1177970400000,0;309;3
data,1177970400000,0;331;3
data,1177970400000,0;352;3
data,1180648800000,0;393;3
data,1180648800000,0;416;3
data,1180648800000,1;434;3
data,1180648800000,2;460;3
data,1180648800000,2;468;4
data,1180648800000,3;492;5
data,1180648800000,3;520;5
data,1180648800000,3;550;5
data,1180648800000,3;563;6
data,1180648800000,3;595;6
data,1183240800000,3;626;6
data,1185919200000,3;658;6
data,1188597600000,3;681;6
data,1188597600000,3;695;6
data,1188597600000,3;716;6
data,1191189600000,3;734;6
data,1191189600000,3;757;6
data,1191189600000,4;789;6
data,1191189600000,4;802;7
data,1191189600000,4;840;7
data,1191189600000,4;866;7
data,1191189600000,4;877;7
data,1191189600000,4;899;8
data,1191189600000,4;942;8
data,1191189600000,4;969;8
data,1191189600000,4;992;8
data,1191189600000,4;1001;8
data,1191189600000,4;1020;8
data,1191189600000,4;1044;8
data,1191189600000,4;1060;9
data,1191189600000,4;1086;9
data,1191189600000,4;1111;9
data,1191189600000,4;1139;9
data,1193871600000,4;1160;9
data,1193871600000,4;1193;9
data,1196463600000,4;1219;9
data,1196463600000,4;9;9
data,1196463600000,4;1258;9
data,1196463600000,4;1283;9
data,1196463600000,4;1285;10
data,1196463600000,4;1139;10
data,1196463600000,4;1345;10
data,1207000800000,4;1370;10
data,1209592800000,4;347;11
data,1259622000000,4;396;12
data,1193871600000,4;1422;12
data,1193871600000,4;41;12
data,1193871600000,4;802;12
data,1193871600000,4;1499;12
data,1193871600000,4;1523;12
data,1193871600000,4;1543;12
data,1193871600000,4;1564;12
data,1193871600000,4;1588;12
data,1193871600000,4;1606;12
data,1193871600000,4;1624;12
data,1193871600000,4;1646;12
data,1193871600000,4;1673;12
data,1193871600000,4;1688;12
data,1193871600000,5;1696;13
data,1193871600000,5;1728;13
data,1193871600000,5;1745;13
data,1193871600000,5;1771;13
data,1193871600000,5;1789;13
data,1193871600000,5;1813;13
data,1193871600000,5;1828;13
data,1193871600000,5;1856;13
data,1193871600000,5;1869;13
data,1193871600000,5;1906;13
data,1193871600000,5;1914;13
data,1193871600000,5;1933;13
data,1193871600000,5;1970;13
data,1193871600000,5;1972;14
data,1193871600000,5;1993;14
data,1193871600000,5;2018;14
data,1193871600000,5;1592;14
data,1193871600000,5;1159;14
data,1193871600000,5;2093;14
data,1193871600000,5;2097;15
data,1193871600000,5;2136;15
data,1193871600000,5;266;15
data,1193871600000,5;2170;15
data,1193871600000,5;2165;15
data,1193871600000,5;2204;15
data,1193871600000,5;2222;15
data,1193871600000,5;2241;16
data,1193871600000,5;49;17
data,1193871600000,5;2286;18
data,1193871600000,6;2317;18
data,1193871600000,6;2345;18
data,1193871600000,6;2353;18
data,1193871600000,6;2373;18
data,1193871600000,6;2393;18
data,1193871600000,6;2413;18
data,1193871600000,6;2425;19
data,1193871600000,6;2464;19
data,1193871600000,6;472;20
data,1193871600000,6;2499;20
data,1193871600000,6;2527;20
data,1193871600000,6;2529;21
data,1193871600000,6;528;21
data,1193871600000,6;2583;21
data,1193871600000,6;2608;21
data,1196463600000,6;2627;21
data,1199142000000,6;2645;21
data,1207000800000,6;2646;22
data,1207000800000,6;2646;23
data,1209592800000,6;2689;23
data,1209592800000,6;2715;23
data,1209592800000,6;2737;23
data,1209592800000,6;2752;23
data,1209592800000,6;2774;23
data,1209592800000,6;2789;24
data,1209592800000,6;2807;24
data,1209592800000,7;2828;25
data,1209592800000,7;2860;25
data,1209592800000,7;2867;26
data,1209592800000,7;2893;26
data,1209592800000,7;1925;26
data,1209592800000,7;2938;26
data,1209592800000,7;2955;26
data,1209592800000,7;2984;26
data,1209592800000,7;3005;26
data,1209592800000,7;3011;26
data,1209592800000,7;3026;26
data,1209592800000,7;3045;27
data,1209592800000,7;97;27
data,1209592800000,7;2286;28
data,1209592800000,7;3099;28
data,1209592800000,7;3125;28
data,1209592800000,7;3148;28
data,1209592800000,7;3149;29
data,1209592800000,7;3175;29
data,1209592800000,7;3200;29
data,1209592800000,7;3213;29
data,1209592800000,7;1856;29
data,1209592800000,7;3246;29
data,1209592800000,7;466;29
data,1209592800000,7;3284;29
